code	family	bond_type	bond_essence	context_dimensions	structural_definition	smarts_essence	chemical_basis	EC_anchor	CAZy_or_KO	direction	evidence_grade	grade_definition	status	notes
G01	Glycosidic	O-beta-D-glucoside (aglycone-linked)	O-glycosidic bond	sugar=beta-D-glucose; position=aglycone	glucose anomeric C1 (beta) linked via O to an aglycone	sugar ring (all-aliphatic C, 1 ring O, >=3 exo-O carbons); anomeric sp3 C - O - aglycone	acetal bond (anomeric sp3 C, cyclic acetal); beta config + D-series stereochemistry	EC 3.2.1.21	GH1/GH3 (K01188)	degradation	A	dual official anchors (IUPAC term + dedicated EC entries)	official	207 compounds in reference curation
G02	Glycosidic	O-beta-D-glucoside (sugar-chain-linked)	O-glycosidic bond	sugar=beta-D-glucose; position=sugar chain	beta-O-glycosidic bond between glucose units (1->2/1->4/1->6)	two sugar rings bridged by anomeric O	acetal bond; endo/exo positions of sugar chain	EC 3.2.1.21 / 3.2.1.4	GH1/GH3	degradation	A	dual official anchors (IUPAC term + dedicated EC entries)	official	terminal sugars cleaved by exo-glycosidases
G03	Glycosidic	O-alpha-D-glucoside (incl. sugar chain)	O-glycosidic bond	sugar=alpha-D-glucose; position=aglycone/chain	alpha-configured anomeric O-glycosidic bond of glucose (incl. alpha(1->x) chains)	anomeric sp3 C - O - aglycone/chain (alpha anomer)	acetal bond; alpha configuration	EC 3.2.1.20	GH13 (K01187)	degradation	A	dual official anchors (IUPAC term + dedicated EC entries)	official	starch/sucrose-type linkages
G04	Glycosidic	O-alpha-L-rhamnoside (aglycone-linked)	O-glycosidic bond	sugar=alpha-L-rhamnose; position=aglycone	alpha-L-rhamnose C1 linked via O to an aglycone	6-deoxy sugar ring; anomeric sp3 C - O - aglycone	acetal bond; 6-deoxy + L-series configuration	EC 3.2.1.40	GH78 (K05989)	degradation	A	dual official anchors (IUPAC term + dedicated EC entries)	official	35 compounds in reference curation
G05	Glycosidic	O-alpha-L-rhamnoside (sugar-chain/terminal)	O-glycosidic bond	sugar=alpha-L-rhamnose; position=sugar chain	alpha-L-rhamnose O-glycosidic bond at sugar-chain position (1->6/1->2)	rhamnose O bridging two sugar rings	acetal bond; terminal position	EC 3.2.1.40	GH78/GH106	degradation	A	dual official anchors (IUPAC term + dedicated EC entries)	official	outer sugar of rutin-type diglycosides
G06	Glycosidic	O-beta-D-galactoside (aglycone-linked)	O-glycosidic bond	sugar=beta-D-galactose; position=aglycone	beta-D-galactose C1-O-aglycone	galactose ring; anomeric sp3 C - O - aglycone	acetal bond; beta configuration	EC 3.2.1.23	GH2/GH35 (K01190)	degradation	A	dual official anchors (IUPAC term + dedicated EC entries)	official	
G07	Glycosidic	O-beta-D-galactoside (sugar-chain)	O-glycosidic bond	sugar=beta-D-galactose; position=sugar chain	beta-galactose linkage within sugar chain	galactose O bridging sugar units	acetal bond	EC 3.2.1.23	GH2/GH35	degradation	A	dual official anchors (IUPAC term + dedicated EC entries)	official	
G08	Glycosidic	O-beta-D-xyloside (aglycone-linked)	O-glycosidic bond	sugar=beta-D-xylose; position=aglycone	beta-D-xylose (pentose) C1-O-aglycone	pentose ring; anomeric sp3 C - O - aglycone	acetal bond; pentose backbone	EC 3.2.1.37	GH3/GH39/GH43 (K01198)	degradation	A	dual official anchors (IUPAC term + dedicated EC entries)	official	
G09	Glycosidic	O-beta-D-xyloside (sugar-chain)	O-glycosidic bond	sugar=beta-D-xylose; position=sugar chain	beta(1->4) xylose bond in xylan backbone	xylan-type beta(1->4) chain	acetal bond	EC 3.2.1.37	GH10/GH11	degradation	A	dual official anchors (IUPAC term + dedicated EC entries)	official	xylan backbone
G10	Glycosidic	O-alpha-L-arabinoside (furanose/pyranose)	O-glycosidic bond	sugar=alpha-L-arabinose; position=aglycone/chain	alpha-L-arabinose O-glycosidic bond (furanose or pyranose)	arabinose ring; anomeric sp3 C - O - R	acetal bond; alpha-L pentose	EC 3.2.1.55	GH43/GH51 (K01207)	degradation	A	dual official anchors (IUPAC term + dedicated EC entries)	official	arabinofuranosidase context
